pl_name,hostname,default_flag,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,rowupdate
TOI-1260 c,TOI-1260,1,1,2,0,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),7.49325000,0.00015000,-0.00013000,0,0.065600,0.003900,-0.006500,0,2.820,0.150,-0.150,0,11.80000,3.40000,-3.20000,0,2.87000,0.98000,-0.86000,0,0.000000,,,0,643,35,-23,0,88.120,0.240,-0.390,0,90.0000,,,0,K6 V,4227.00,85.00,-85.00,0,0.65,0.01,-0.01,0,0.66,0.01,-0.01,0,10h28m34.58s,157.1440712,+65d51m15.11s,65.8541986,73.5977000,0.1607000,-0.1601000,2021-07-12
TOI-1266 b,TOI-1266,1,1,2,0,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),10.89484300,0.00006700,-0.00006600,0,0.073600,0.001600,-0.001700,0,2.370,0.160,-0.120,0,13.50000,11.00000,-9.00000,0,,,,,0.090000,0.060000,-0.050000,0,413,20,-20,0,89.500,0.200,-0.200,0,,,,,M3,3600.00,150.00,-150.00,0,0.42,0.02,-0.02,0,0.45,0.03,-0.03,0,13h11m59.18s,197.9965833,+65d50m01.31s,65.8336973,36.0118000,0.0295000,-0.0295000,2020-10-01
TOI-1266 c,TOI-1266,1,1,2,0,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),18.80151000,0.00067000,-0.00069000,0,0.105800,0.002300,-0.002400,0,1.560,0.150,-0.130,0,2.20000,2.00000,-1.50000,0,,,,,0.040000,0.030000,-0.030000,0,344,16,-16,0,89.300,0.100,-0.100,0,,,,,M3,3600.00,150.00,-150.00,0,0.42,0.02,-0.02,0,0.45,0.03,-0.03,0,13h11m59.18s,197.9965833,+65d50m01.31s,65.8336973,36.0118000,0.0295000,-0.0295000,2020-10-01
TOI-132 b,TOI-132,1,1,1,0,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),2.10970190,0.00001200,-0.00001100,0,0.026000,0.002000,-0.003000,0,3.420,0.130,-0.140,0,22.40000,1.90000,-1.92000,0,3.08000,0.44000,-0.46000,0,0.059000,0.050000,-0.037000,0,1395,52,-72,0,85.030,1.300,-1.840,0,125.8800,57.2300,-38.0500,0,G8 V,5397.00,46.00,-46.00,0,0.90,0.02,-0.02,0,0.97,0.06,-0.06,0,22h33m35.92s,338.3996623,-43d26m12.74s,-43.4368720,163.6780000,0.9930000,-0.9810000,2020-02-21
TOI-1333 b,TOI-1333,1,2,1,0,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),4.72021900,0.00001100,-0.00001100,0,0.062600,0.001100,-0.001200,0,15.648,0.628,-0.605,0,753.25710,76.27920,-76.27920,0,1.08000,0.18000,-0.15000,0,0.073000,0.092000,-0.052000,0,1679,35,-34,0,85.700,1.300,-0.650,0,105.0000,64.0000,-40.0000,0,,6274.00,97.00,-97.00,0,1.93,0.06,-0.06,0,1.46,0.08,-0.08,0,21h40m03.49s,325.0145363,+48d24m24.36s,48.4067674,200.4920000,1.2020000,-1.1880000,2021-02-25
TOI-1338 b,TOI-1338,1,2,1,0,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),95.17400000,0.03100000,-0.03500000,0,0.460700,0.008400,-0.008800,0,6.850,0.190,-0.190,0,33.00000,20.30000,-19.60000,0,0.56000,0.34000,-0.33000,0,0.088000,0.004300,-0.003300,0,,,,,89.370,0.350,-0.260,0,258.6000,3.7000,-4.8000,0,,6050.00,80.00,-80.00,0,1.33,0.02,-0.03,0,1.13,0.07,-0.07,0,06h08m31.94s,92.1330955,-59d32m27.55s,-59.5409853,399.0170000,3.1620000,-3.1130000,2020-05-29
TOI-1444 b,TOI-1444,1,1,2,0,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0.47026940,0.00000440,-0.00000440,0,,,,,1.397,0.064,-0.064,0,3.87000,0.71000,-0.71000,0,,,,,0.000000,,,0,,,,,82.000,3.000,-2.000,0,,,,,,5430.00,90.00,-90.00,0,0.91,0.02,-0.02,0,0.93,0.04,-0.04,0,20h21m53.98s,305.4749252,+70d56m37.34s,70.9437054,125.4630000,0.3370000,-0.3350000,2021-05-28
TOI-1444 c,TOI-1444,1,1,2,0,Radial Velocity,2021,W. M. Keck Observatory,16.06600000,0.02400000,-0.02400000,0,,,,,,,,,,,,,,,,,0.000000,,,0,,,,,,,,,,,,,,5430.00,90.00,-90.00,0,0.91,0.02,-0.02,0,0.93,0.04,-0.04,0,20h21m53.98s,305.4749252,+70d56m37.34s,70.9437054,125.4630000,0.3370000,-0.3350000,2021-05-28
TOI-1478 b,TOI-1478,1,1,1,0,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),10.18024900,0.00001500,-0.00001500,0,0.090300,0.001800,-0.001300,0,11.882,0.448,-0.437,0,270.47333,16.52716,-14.93801,0,0.88000,0.13000,-0.11000,0,0.024000,0.032000,-0.017000,0,918,11,-11,0,88.510,0.290,-0.220,0,-110.0000,120.0000,-130.0000,0,,5597.00,83.00,-82.00,0,1.05,0.03,-0.03,0,0.95,0.06,-0.04,0,08h25m44.10s,126.4337428,-13d33m34.37s,-13.5595485,152.8920000,0.9150000,-0.9050000,2021-02-25
TOI-150.01,TOI-150,1,1,1,0,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),5.85748700,0.00008900,-0.00009700,0,0.070370,0.000870,-0.000880,0,14.067,0.235,-0.213,0,797.75330,38.13960,-38.13960,0,1.68000,0.12000,-0.12000,0,0.262000,0.045000,-0.037000,0,1404,7,-6,0,88.090,0.980,-0.680,0,,,,,F,6255.00,90.00,-90.00,0,1.53,0.01,-0.01,0,1.35,0.04,-0.03,0,07h31m51.70s,112.9654210,-73d36m21.73s,-73.6060358,336.2670000,1.9270000,-1.9050000,2019-11-01
TOI-157 b,TOI-157,1,1,1,0,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),2.08454350,0.00000230,-0.00000230,0,0.031380,0.000250,-0.000200,0,14.415,0.258,-0.224,0,375.03940,41.31790,-38.13960,0,0.68600,0.08000,-0.07800,0,0.000000,,,0,1588,21,-20,0,82.010,0.150,-0.160,0,,,,,G9 IV,5404.00,70.00,-67.00,0,1.17,0.02,-0.01,0,0.95,0.02,-0.02,0,04h54m48.35s,73.7014398,-76d40m50.18s,-76.6806061,355.6830000,2.8480000,-2.8040000,2020-07-17
TOI-1601 b,TOI-1601,1,1,1,0,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),5.33175100,0.00001100,-0.00001100,0,0.068640,0.000790,-0.000750,0,13.888,0.516,-0.437,0,314.65170,34.96130,-34.96130,0,0.64000,0.09700,-0.09300,0,0.036000,0.044000,-0.026000,0,1619,24,-23,0,88.840,0.810,-1.100,0,-180.0000,110.0000,-100.0000,0,,5948.00,87.00,-89.00,0,2.19,0.07,-0.06,0,1.52,0.05,-0.05,0,02h33m26.78s,38.3615690,+41d00m48.36s,41.0134321,336.6080000,8.3890000,-7.9980000,2021-02-25
TOI-163 b,TOI-163,1,1,1,0,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),4.23130600,0.00006300,-0.00005700,0,0.058000,0.001400,-0.001400,0,16.690,0.381,-0.381,0,387.75260,38.13960,-38.13960,0,0.49000,0.05900,-0.05500,0,0.000000,,,0,1669,16,-14,0,87.240,0.470,-0.450,0,,,,,F,6495.00,90.00,-90.00,0,1.65,0.02,-0.03,0,1.44,0.03,-0.03,0,05h19m04.38s,79.7682532,-71d53m43.90s,-71.8955269,411.7190000,8.1630000,-7.8570000,2019-11-01
TOI-1634 b,TOI-1634,1,2,1,0,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0.98934300,0.00001500,-0.00001500,0,0.015450,0.000140,-0.000140,0,1.790,0.080,-0.081,0,4.91000,0.68000,-0.70000,0,4.70000,1.00000,-0.90000,0,0.160000,,,1,924,22,-22,0,88.200,1.100,-1.100,0,,,,,M2,3550.00,69.00,-69.00,0,0.45,0.01,-0.01,0,0.50,0.01,-0.01,0,03h45m33.75s,56.3906096,+37d06m44.21s,37.1122803,35.2736000,0.0527000,-0.0526000,2021-07-12
